id,name,region,category,address,lon,lat,rating,imageUrl,memo
1951,"야끼소바 니주마루",잠실/송파/강동,한식,"서울 송파구 백제고분로41길 21 1층 (송파동)",127.10710715,37.50790441,0,https://via.placeholder.com/150,NULL
1952,텐동요츠야,구로/관악/동작,한식,"서울 관악구 관악로14길 35 1층 (봉천동)",126.95448289,37.47895339,0,https://via.placeholder.com/150,NULL
1953,마시타야,홍대/합정/마포,한식,"서울 마포구 와우산로29라길 26 (서교동)",126.92660771,37.55481106,0,https://via.placeholder.com/150,NULL
1954,미오도쿄다이닝,건대/성수/왕십리,한식,"서울 성동구 연무장5가길 7 현대테라스타워 1층 117호 (성수동2가)",127.05366997,37.54408177,0,https://via.placeholder.com/150,NULL
1955,"인량 훠궈",강남,한식,"서울 강남구 강남대로140길 9 비피유빌딩 지하1층 (논현동)",127.02122863,37.51401662,0,https://via.placeholder.com/150,NULL
1956,농민백암왕순대,강남,한식,"서울 강남구 역삼로3길 20-4 (역삼동)",127.03150463,37.49491301,0,https://via.placeholder.com/150,NULL
1957,오디오시요거트,강남,카페,"서울 강남구 역삼로 133 1층 (역삼동)",127.03420142,37.49443923,0,https://via.placeholder.com/150,NULL
1958,로리스더프라임립,서초,한식,"서울 서초구 서초대로 411 GT타워 3층 (서초동)",127.02590025,37.49808141,0,https://via.placeholder.com/150,NULL
1959,꽃보다라면,서초,한식,"서울 서초구 사임당로 178 이즈타워 B103호 (서초동)",127.0290791,37.49220701,0,https://via.placeholder.com/150,NULL
1960,장꼬방,서초,카페,"서울 서초구 강남대로61길 27 1층 (서초동)",127.0238071,37.49833143,0,https://via.placeholder.com/150,NULL
1961,"하이디라오 강남점",서초,한식,"서울 서초구 서초대로77길 54 서초W타워 2층 (서초동)",127.0248014,37.50256415,0,https://via.placeholder.com/150,NULL
1962,"랜디스도넛 연남점",홍대/합정/마포,카페,"서울 마포구 동교로 247 (연남동)",126.92412192,37.56202106,0,https://via.placeholder.com/150,NULL
1963,투그,건대/성수/왕십리,한식,"서울 성동구 성수이로14길 5 1층 (성수동2가)",127.05633594,37.54108921,0,https://via.placeholder.com/150,NULL
1964,센트그릴,신촌/연희,한식,"서울 서대문구 연희로 89-3 (연희동)",126.92989943,37.56617372,0,https://via.placeholder.com/150,NULL
1965,부첼리하우스,용산/이태원/한남,한식,"서울 용산구 독서당로 122-1 (한남동)",127.01282614,37.53683481,0,https://via.placeholder.com/150,NULL
1966,신성각,홍대/합정/마포,한식,"서울 마포구 임정로 55-1 1층 (신공덕동)",126.95773354,37.54473422,0,https://via.placeholder.com/150,NULL
1967,"진진 본관",홍대/합정/마포,한식,"서울 마포구 잔다리로 123 1층 (서교동)",126.91327934,37.55778612,0,https://via.placeholder.com/150,NULL
1968,"매운향솥 본점",건대/성수/왕십리,한식,"서울 광진구 동일로18길 61 1층 (자양동)",127.06626441,37.5391415,0,https://via.placeholder.com/150,NULL
1969,"양궈푸마라탕 역삼1호점",강남,한식,"서울 강남구 논현로94길 21 (역삼동)",127.03800634,37.50283815,0,https://via.placeholder.com/150,NULL
1970,"캘리포니아키친 앤 크래프트펍",용산/이태원/한남,한식,"서울 용산구 회나무로26길 3 라인빌딩 2층 201호 (이태원동)",126.99166769,37.53949857,0,https://via.placeholder.com/150,NULL
1971,아우네장터,구로/관악/동작,한식,"서울 관악구 봉천로 490 (봉천동)",126.95411503,37.4814977,0,https://via.placeholder.com/150,NULL
1972,부림,구로/관악/동작,한식,"서울 관악구 청룡1길 7 (봉천동)",126.94662593,37.48133958,0,https://via.placeholder.com/150,NULL
